Акамир;М
Окомир;М
Алень;М
Ахмыл;М
Бажен;М
Бажена;Ж
Баламут;М
Безсон;М
Белослав;М
Белослава;Ж
Беримир;М
Берислав;М
Берислава;Ж
Благослав;М
Благослава;Ж
Блуд;М
Богдан;М
Богша;М
Богдана;Ж
Богомил;М
Боголюб;М
Богуслав;М
Божидара;Ж
Божена;Ж
Болеслав;М
Болеслава;Ж
Боримир;М
Боремир;М
Борис;М
Борислав;М
Борислава;Ж
Борщ;М
Боян;М
Бояна;Ж
Бранимир;М
Братислав;М
Братислава;Ж
Бронислав;М
Бронислава;Ж
Будигост;М
Будимир;М
Бурислав;М
Берёза;Ж
Вадим;М
Вацлав;М
Велерад;М
Велиград;М
Велимир;М
Велимира;Ж
Велимудр;М
Велислав;М
Велислава;Ж
Венцеслав;М
Венцеслава;Ж
Вера;Ж
Верослав;М
Веролюб;М
Веселин;М
Веселина;Ж
Веслав;М
Веслава;Ж
Видана;Ж
Видогост;М
Витомир;М
Владдух;М
Владимир;М
Владимира;Ж
Владислав;М
Владислава;Ж
Властимир;М
Военег;М
Возгарь;М
Воислав;М
Воислава;Ж
Волибор;М
Волк;М
Ворон;М
Воротислав;М
Всеволод;М
Всеград;М
Всемил;М
Всемила;Ж
Всемысл;М
Всемысла;Ж
Всесвет;М
Всеслав;М
Всеслава;Ж
Вторак;М
Вышеслав;М
Вышемир;М
Вячеслав;М
Вячко;М
Говен;М
Годогост;М
Годослав;М
Годобрат;М
Голуба;Ж
Горазд;М
Горан;М
Горица;Ж
Горецвет;М
Горислав;М
Горислава;Ж
Гордыня;М
Горыня;М
Гостевид;М
Гостемил;М
Гостомысл;М
Гостята;М
Гойник;М
Градимир;М
Градислав;М
Градислава;Ж
Гранислав;М
Гранислава;Ж
Громобой;М
Гремислав;М
Гудислав;М
Далибор;М
Дарён;М
Дарина;Ж
Девятко;М
Деян;М
Добран;М
Добровлад;М
Доброгнева;М
Доброгост;М
Добролюб;М
Добромил;М
Добромила;Ж
Добромир;М
Добромира;Ж
Добромысл;М
Добронрав;М
Добронега;Ж
Доброслав;М
Доброслава;Ж
Доброжир;М
Добрыня;М
Доможир;М
Домаслав;М
Драган;М
Драгана;Ж
Драгомир;М
Драгомира;Ж
Дражко;М
Дробн;М
Дрочка;М
Дубыня;М
Душан;М
Душица;Ж
Дружина;М
Духовлад;М
Душевлад;М
Ель;М
Ёрш;М
Ёлка;М
Жаворонок;М
Ждан;М
Ждана;Ж
Жизнобуд;М
Жизномир;М
Жировит;М
Жирослав;М
Заяц;М
Забава;Ж
Завид;М
Збигнев;М
Звенислава;Ж
Звонимир;М
Здебор;М
Здебора;Ж
Здислав;М
Здислава;Ж
Зимам;Ж
Златомир;М
Златоцвета;Ж
Злоба;М
Зоран;М
Зорица;Ж
Избыгнев;М
Изяслав;М
Искрен;М
Искра;Ж
Истислав;М
Истома;М
Казимир;М
Казимира;Ж
Красимир;М
Красимира;Ж
Крив;М
Креслав;М
Клонимир;М
Лад;М
Лада;Ж
Ладимир;М
Ладислав;М
Лан;М
Лана;Ж
Лебедь;М
Лесьяр;М
Лудислав;М
Лучезар;М
Любава;Ж
Любиград;М
Любим;М
Любица;Ж
Любогост;М
Любовь;Ж
Люба;Ж
Любошь;М
Любичанъ;М
Любона;Ж
Любомила;Ж
